hour,change
0,0.026307719693144053
1,0.061399298929012434
2,0.09422975116311377
3,0.11896486870881694
4,0.1392309949243808
5,0.16373516068419394
6,0.1984380394789348
7,0.24984426133848958
8,0.3131180261930884
9,0.3684386831813202
10,0.4174815957843347
11,0.4606671123659525
12,0.5088192001473864
13,0.5944575222157816
14,0.6632035955996602
15,0.7489661552770682
16,0.7989778165845076
17,0.842822337583413
18,0.8875235303353762
19,0.9271577698129193
20,0.9540867279058173
21,0.9701303238216655
22,0.9822193997042579
23,1.0
